hyundai,sonata,limited2dot0t,2016,27,0,27
hyundai,sonata,limited2dot0t,2018,1981,22,1959
hyundai,sonata,gls,2013,2691,0,2691
hyundai,elantra,se,2017,2768,30,2738
hyundai,sonata,gls,2003,125,125,0
hyundai,accent,gl,2011,50,0,50
hyundai,sonata,se2dot0t,2014,510,0,510
hyundai,sonata,se,2013,2658,0,2658
hyundai,elantra,se,2007,53,0,53
hyundai,sonata,gls,2000,19,0,19
hyundai,azera,limited,2016,540,0,540
hyundai,sonata,limited2dot0t,2015,2717,0,2717
hyundai,elantra,se,2009,292,0,292
hyundai,sonata,gls,2010,1314,0,1314
hyundai,elantra,sport,2018,2124,0,2124
hyundai,sonata,limited2dot0tplus,2016,96,0,96
hyundai,sonata,se,2017,2494,0,2494
hyundai,sonata,gl,2005,112,112,0
hyundai,elantra,se,2014,2648,25,2623
volkswagen,tiguan,4motion-auto-r-line,2015,252,0,252
hyundai,accent,gls,2011,46,0,46
volkswagen,tiguan,4motion-auto-r-line,2014,124,0,124
hyundai,sonata,limited2dot0tplus,2012,498,0,498
hyundai,azera,base,2017,505,505,0
hyundai,sonata,sport2dot0t,2017,807,0,807
hyundai,sonata,se,2012,2132,0,2132
