astonmartin,db2,base,1952,26,26,0
bugatti,veyron16dot4,base,2008,8,8,0
hyundai,accent,gl,1998,6,6,0
hyundai,accent,gl,2000,108,108,0
hyundai,accent,gl,2001,42,42,0
hyundai,accent,gl,2002,174,174,0
hyundai,accent,gl,2003,246,246,0
hyundai,accent,gl,2004,164,164,0
hyundai,accent,gl,2011,342,342,0
hyundai,accent,gls,2005,310,310,0
hyundai,accent,gls,2006,260,260,0
hyundai,accent,gls,2007,198,198,0
hyundai,accent,gls,2008,390,390,0
hyundai,accent,gls,2009,354,354,0
hyundai,accent,gls,2010,488,488,0
hyundai,accent,gls,2011,584,584,0
hyundai,accent,gls,2012,1148,1148,0
hyundai,accent,gls,2013,2101,2096,5
hyundai,accent,gls,2014,1760,0,1760
hyundai,accent,gls,2015,1744,40,1704
hyundai,accent,gs,2007,76,76,0
hyundai,accent,gs,2008,92,92,0
hyundai,accent,gs,2009,136,136,0
hyundai,accent,gs,2010,78,78,0
hyundai,accent,gs,2011,64,64,0
hyundai,accent,gs,2012,114,114,0
hyundai,accent,gs,2013,270,270,0
hyundai,accent,gs,2014,228,0,228
hyundai,accent,gs,2015,269,0,269
hyundai,accent,gt,2005,0,0,0
hyundai,accent,l,2002,14,14,0
hyundai,accent,limited,2018,1578,1578,0
hyundai,accent,se,2007,56,56,0
hyundai,accent,se,2008,8,8,0
hyundai,accent,se,2009,48,48,0
hyundai,accent,se,2010,8,8,0
hyundai,accent,se,2011,32,32,0
hyundai,accent,se,2012,160,160,0
hyundai,accent,se,2013,172,168,4
hyundai,accent,se,2014,162,76,86
hyundai,accent,se,2016,2915,2,2913
hyundai,accent,se,2017,3017,0,3017
hyundai,accent,se,2018,4622,4622,0
hyundai,accent,sel,2018,32,32,0
hyundai,accent,sport,2015,86,86,0
hyundai,accent,sport,2016,12,0,12
hyundai,accent,sport,2017,106,106,0
hyundai,accent,valueedition,2017,181,181,0
hyundai,azera,base,2012,562,562,0
hyundai,azera,base,2013,1574,1574,0
hyundai,azera,base,2014,316,0,316
hyundai,azera,base,2015,792,0,792
hyundai,azera,base,2016,476,476,0
hyundai,azera,base,2017,1010,1010,0
hyundai,azera,gls,2007,26,26,0
hyundai,azera,gls,2008,40,40,0
hyundai,azera,gls,2009,30,30,0
hyundai,azera,gls,2010,16,16,0
hyundai,azera,gls,2011,108,108,0
hyundai,azera,gls,2013,34,34,0
hyundai,azera,limited,2006,142,142,0
hyundai,azera,limited,2007,172,172,0
hyundai,azera,limited,2008,134,134,0
hyundai,azera,limited,2009,94,94,0
hyundai,azera,limited,2010,12,12,0
hyundai,azera,limited,2011,60,60,0
hyundai,azera,limited,2012,0,0,0
hyundai,azera,limited,2013,0,0,0
hyundai,azera,limited,2014,257,0,257
hyundai,azera,limited,2015,166,0,166
hyundai,azera,limited,2016,464,464,0
hyundai,azera,limited,2017,2681,2680,1
hyundai,azera,se,2006,52,52,0
hyundai,azera,se,2007,26,26,0
hyundai,elantra,base,2014,14,14,0
hyundai,elantra,blue,2010,330,330,0
hyundai,elantra,eco,2017,74,74,0
hyundai,elantra,eco,2018,1630,1630,0
hyundai,elantra,gls,2000,48,48,0
hyundai,elantra,gls,2001,68,68,0
hyundai,elantra,gls,2002,204,204,0
hyundai,elantra,gls,2003,266,266,0
hyundai,elantra,gls,2004,240,240,0
hyundai,elantra,gls,2005,468,468,0
hyundai,elantra,gls,2006,654,654,0
hyundai,elantra,gls,2007,750,750,0
hyundai,elantra,gls,2008,916,916,0
hyundai,elantra,gls,2009,642,642,0
hyundai,elantra,gls,2010,1614,1614,0
hyundai,elantra,gls,2011,1388,1388,0
hyundai,elantra,gls,2012,1680,1680,0
hyundai,elantra,gls,2013,1855,1855,0
hyundai,elantra,gs,2013,1023,123,900
hyundai,elantra,gt,2001,32,32,0
hyundai,elantra,gt,2002,26,26,0
hyundai,elantra,gt,2003,4,4,0
hyundai,elantra,gt,2004,72,72,0
hyundai,elantra,gt,2005,178,178,0
hyundai,elantra,gt,2006,34,34,0
hyundai,elantra,gt,2013,0,0,0
hyundai,elantra,gt,2014,0,0,0
hyundai,elantra,gt,2015,0,0,0
hyundai,elantra,gt,2016,0,0,0
hyundai,elantra,gt,2017,0,0,0
hyundai,elantra,gt,2018,6652,4450,2202
hyundai,elantra,gtsport,2018,0,0,0
hyundai,elantra,limited,2014,0,0,0
hyundai,elantra,limited,2015,0,0,0
hyundai,elantra,limited,2016,0,0,0
hyundai,elantra,limited,2017,0,0,0
hyundai,elantra,limited,2018,0,0,0
hyundai,elantra,se,2007,34,34,0
hyundai,elantra,se,2008,292,292,0
hyundai,elantra,se,2009,244,244,0
